@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.505,0.282,p
0.756,0.618,p
0.910,0.983,n
0.434,0.611,p
0.865,0.260,p
0.805,0.549,p
0.494,0.868,n
0.244,0.325,n
0.968,0.803,p
0.448,0.080,n
0.290,0.189,p
0.187,0.613,n
0.877,0.923,n
0.842,0.898,n
0.276,0.812,n
0.849,0.895,n
0.950,0.580,p
0.660,0.996,p
0.486,0.630,n
0.117,0.220,n
0.101,0.146,n
0.635,0.606,n
0.576,0.391,p
0.981,0.036,p
0.961,0.185,p
0.211,0.801,n
0.260,0.221,p
0.647,0.350,p
0.504,0.039,p
0.988,0.199,p
0.732,0.838,n
0.169,0.673,p
0.058,0.676,n
0.311,0.357,p
0.012,0.742,n
0.336,0.046,p
0.947,0.634,p
0.334,0.239,p
0.402,0.702,n
0.445,0.259,p
0.884,0.495,p
0.312,0.467,n
0.999,0.633,p
0.083,0.726,n
0.528,0.098,p
0.119,0.649,n
0.854,0.397,p
0.651,0.347,p
0.872,0.278,n
0.041,0.681,n
0.947,0.938,n
0.042,0.749,n
0.655,0.712,n
0.208,0.587,n
0.982,0.290,n
0.478,0.240,p
0.048,0.180,n
0.415,0.099,p
0.479,0.700,n
0.894,0.920,p
0.085,0.750,n
0.061,0.008,p
0.519,0.449,p
0.431,0.359,p
0.064,0.864,n
0.119,0.398,n
0.198,0.378,n
0.406,0.680,p
0.322,0.498,n
0.610,0.219,p
0.340,0.963,n
0.818,0.035,p
0.257,0.784,n
0.583,0.718,n
0.066,0.085,n
0.331,0.161,p
0.149,0.656,n
0.505,0.901,p
0.574,0.679,p
0.758,0.991,n
0.599,0.826,p
0.798,0.657,p
0.000,0.182,n
0.408,0.810,n
0.056,0.036,p
0.418,0.492,n
0.987,0.411,n
0.612,0.387,p
0.471,0.151,p
0.549,0.347,p
0.881,0.610,p
0.873,0.681,p
0.189,0.782,n
0.790,0.075,p
0.667,0.572,p
0.889,0.779,p
0.699,0.420,p
0.113,0.426,n
0.734,0.031,p
0.723,0.079,p
0.348,0.010,p
0.974,0.819,p
0.893,0.208,p
0.859,0.187,p
0.112,0.344,p
0.473,0.293,p
0.937,0.958,n
0.581,0.156,n
0.898,0.946,n
0.291,0.420,n
0.078,0.073,p
0.420,0.551,n
0.142,0.422,n
0.949,0.058,p
0.409,0.417,n
0.321,0.204,p
0.471,0.950,n
0.277,0.558,n
0.796,0.446,p
0.768,0.432,p
0.483,0.204,p
0.002,0.699,n
0.008,0.299,p
0.629,0.545,p
0.257,0.526,n
0.582,0.396,p
0.253,0.283,n
0.909,0.595,p
0.792,0.306,p
0.164,0.415,n
0.290,0.520,n
0.627,0.531,p
0.372,0.629,p
0.591,0.140,p
0.668,0.354,p
0.415,0.477,n
0.889,0.010,p
0.686,0.742,p
0.669,0.006,p
0.621,1.000,n
0.752,0.288,p
0.897,0.435,p
0.447,0.709,n
0.789,0.389,p
0.807,0.390,p
0.196,0.940,n
0.512,0.284,p
0.877,0.353,p
0.955,0.930,n
0.934,0.581,n
0.704,0.215,n
0.655,0.140,p
0.397,0.921,n
0.454,0.340,n
0.456,0.325,p
0.712,0.045,p
0.934,0.072,p
0.099,0.765,n
0.490,0.128,p
0.536,0.261,p
0.099,0.733,n
0.249,0.285,n
0.660,0.742,p
0.118,0.737,n
0.359,0.675,n
0.240,0.518,n
0.328,0.585,n
0.976,0.510,p
0.076,0.765,p
0.213,0.733,n
0.901,0.108,n
0.834,0.526,p
0.456,0.013,p
0.953,0.481,p
