@relation SINE2
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.134,0.847,n
0.255,0.495,p
0.002,0.445,p
0.438,0.496,n
0.233,0.231,p
0.838,0.556,p
0.333,0.721,n
0.830,0.670,p
0.303,0.588,n
0.703,0.674,n
0.375,0.439,n
0.778,0.521,p
0.490,0.030,p
0.703,0.983,n
0.982,0.771,n
0.269,0.548,p
0.820,0.886,n
0.741,0.809,n
0.870,0.570,p
0.200,0.505,p
0.623,0.612,n
0.458,0.028,p
0.798,0.797,n
0.109,0.900,n
0.510,0.209,n
0.817,0.021,p
0.146,0.719,p
0.705,0.678,n
0.221,0.976,n
0.517,0.223,p
0.631,0.059,p
0.299,0.968,p
0.416,0.252,p
0.570,0.172,n
0.868,0.974,n
0.206,0.674,p
0.433,0.194,p
0.666,0.296,p
0.325,0.872,n
0.018,0.201,p
0.213,0.674,p
0.882,0.687,p
0.725,0.085,p
0.759,0.600,p
0.841,0.368,n
0.291,0.867,n
0.551,0.104,p
0.788,0.829,n
0.341,0.615,n
0.082,0.267,p
0.458,0.277,n
0.670,0.092,p
0.421,0.116,p
0.103,0.911,n
0.378,0.970,n
0.294,0.253,p
0.100,0.652,p
0.313,0.063,p
0.913,0.970,n
0.688,0.662,n
0.259,0.542,p
0.246,0.081,p
0.643,0.941,n
0.390,0.307,p
0.317,0.847,p
0.579,0.596,n
0.245,0.020,p
0.072,0.551,p
0.075,0.635,p
0.776,0.985,n
0.822,0.320,p
0.894,0.142,p
0.910,0.032,p
0.903,0.804,n
0.064,0.963,n
0.396,0.339,n
0.417,0.571,n
0.062,0.355,n
0.398,0.401,n
0.612,0.234,p
0.529,0.501,n
0.438,0.687,n
0.238,0.495,p
0.907,0.918,n
0.275,0.646,p
0.693,0.849,n
0.372,0.701,p
0.595,0.856,n
0.960,0.571,n
0.682,0.717,n
0.730,0.041,n
0.981,0.808,n
0.268,0.913,n
0.660,0.700,n
0.445,0.924,n
0.165,0.325,p
0.126,0.909,n
0.119,0.601,p
0.118,0.295,p
0.750,0.004,p
0.606,0.835,n
0.791,0.809,n
0.974,0.545,p
0.108,0.808,p
0.965,0.761,n
0.573,0.311,n
0.503,0.357,n
0.001,0.442,p
0.882,0.829,n
0.835,0.409,p
0.170,0.620,n
0.846,0.767,p
0.815,0.605,n
0.265,0.708,n
0.485,0.467,n
0.423,0.355,p
0.946,0.690,n
0.402,0.689,n
0.368,0.512,p
0.713,0.815,n
0.270,0.610,p
0.222,0.964,n
0.899,0.622,p
0.913,0.728,n
0.718,0.718,n
0.305,0.106,p
0.492,0.100,p
0.704,0.815,n
0.838,0.118,p
0.693,0.095,p
0.212,0.715,p
0.330,0.594,n
0.383,0.580,n
0.840,0.906,n
0.028,0.638,p
0.631,0.970,n
0.642,0.243,p
0.935,0.590,n
0.605,0.560,n
0.061,0.353,p
0.752,0.252,p
0.855,0.852,n
0.469,0.370,n
0.395,0.708,n
0.090,0.800,n
0.086,0.034,p
0.733,0.313,p
0.795,0.807,n
0.304,0.425,p
0.584,0.105,p
0.719,0.835,n
0.345,0.575,n
0.044,0.815,n
0.314,0.298,p
0.325,0.749,n
0.069,0.979,n
0.480,0.913,n
0.970,0.816,n
0.644,0.403,p
0.465,0.980,n
0.563,0.907,n
0.546,0.266,n
0.073,0.851,n
0.284,0.891,n
0.598,0.865,n
0.425,0.676,n
0.945,0.798,n
0.201,0.747,p
0.770,0.514,p
0.404,0.883,n
0.299,0.691,n
0.006,0.120,p
0.543,0.572,n
0.551,0.526,n
0.630,0.308,p
0.550,0.977,n
0.937,0.895,n
0.670,0.899,n
0.846,0.383,p
0.481,0.337,n
0.456,0.117,p
0.415,0.018,p
0.260,0.858,n
0.691,0.434,p
0.491,0.971,n
0.716,0.091,p
0.967,0.229,p
0.399,0.724,n
0.996,0.550,n
0.534,0.347,p
0.420,0.672,n
0.119,0.265,n
0.480,0.793,n
0.786,0.677,p
0.106,0.386,n
0.417,0.888,n
0.992,0.289,n
0.895,0.545,p
0.760,0.337,p
0.009,0.989,n
0.229,0.275,p
0.706,0.412,p
0.471,0.338,n
0.690,0.645,n
0.128,0.140,n
0.305,0.615,n
0.601,0.518,n
0.023,0.330,n
0.251,0.770,n
0.399,0.934,n
0.322,0.949,n
0.352,0.804,n
0.405,0.679,n
0.621,0.528,n
0.536,0.394,n
0.509,0.175,p
0.530,0.473,n
0.403,0.104,p
0.654,0.544,n
0.842,0.848,n
0.849,0.382,p
0.008,0.952,n
0.920,0.643,p
0.779,0.599,p
0.606,0.053,p
0.508,0.356,n
0.271,0.984,n
0.655,0.802,n
0.159,0.777,p
0.346,0.658,n
0.891,0.172,p
0.175,0.717,p
0.657,0.785,n
0.773,0.723,p
0.571,0.927,n
0.840,0.150,p
0.109,0.026,p
0.156,0.972,n
0.662,0.342,p
0.239,0.775,n
0.513,0.427,p
0.794,0.936,n
0.700,0.691,n
0.537,0.248,n
0.119,0.644,p
0.978,0.239,p
0.278,0.416,p
0.595,0.986,n
0.318,0.535,p
0.360,0.151,p
0.567,0.845,n
0.143,0.255,p
0.349,0.279,p
0.149,0.130,p
0.197,0.802,n
0.578,0.554,n
0.077,0.786,n
0.129,0.539,p
0.074,0.241,p
0.286,0.662,n
0.709,0.348,n
0.290,0.810,n
0.593,0.615,n
0.316,0.812,n
0.854,0.633,p
0.122,0.906,n
0.923,0.134,p
0.716,0.255,p
0.378,0.482,n
0.672,0.921,n
0.503,0.855,n
0.769,0.421,p
0.045,0.214,p
0.423,0.442,n
0.957,0.595,p
0.177,0.148,p
0.907,0.286,n
0.501,0.991,n
0.396,0.993,n
0.842,0.646,p
0.552,0.910,n
0.477,0.427,n
