@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
2.748,8.837,9.878,n
3.933,8.100,4.158,n
6.972,2.959,9.752,n
1.765,9.764,0.113,p
4.231,4.214,9.495,n
9.196,4.823,6.129,n
1.429,6.132,1.922,p
3.799,4.952,7.239,p
0.826,1.191,4.195,p
7.576,1.476,4.447,p
4.484,8.344,8.628,n
2.899,0.832,5.081,p
6.376,0.512,9.151,p
1.310,5.917,5.174,p
2.800,8.982,2.788,n
4.791,7.649,9.627,n
4.197,6.427,8.049,n
4.434,3.400,3.027,n
1.604,2.024,7.677,p
3.459,5.504,8.752,p
7.731,7.724,3.826,n
3.665,4.106,5.517,p
7.348,1.656,1.470,n
9.915,4.042,7.680,n
1.754,0.951,2.381,p
7.891,3.574,2.827,n
7.152,5.572,9.421,n
3.148,4.263,6.181,p
0.445,9.714,6.125,n
2.706,6.885,5.810,n
7.774,6.410,1.620,n
1.990,0.771,2.350,n
2.430,5.361,7.238,p
3.401,9.828,5.953,p
4.050,0.543,7.194,p
6.167,1.367,5.608,p
7.388,1.306,7.107,p
5.538,0.826,2.460,p
5.713,8.283,6.771,n
2.211,7.898,4.167,n
1.959,4.334,7.260,p
7.780,5.793,2.545,n
4.470,3.418,7.731,p
6.723,0.504,7.182,p
2.757,3.154,8.035,p
6.628,9.837,7.023,n
6.146,3.270,1.643,n
9.092,7.189,2.341,n
8.239,2.732,0.210,p
1.197,3.039,7.462,p
9.429,3.028,4.081,n
0.359,4.179,4.918,p
3.867,0.470,4.709,p
3.834,7.764,4.903,n
8.813,6.101,4.672,p
7.886,1.271,9.118,n
7.993,9.169,8.725,n
5.718,2.160,0.935,p
8.194,8.888,7.794,n
4.201,3.053,1.134,n
0.307,4.467,6.864,p
0.301,9.193,9.622,n
0.785,0.703,3.593,p
0.705,8.934,2.080,n
0.072,3.691,0.247,p
1.026,5.808,1.564,p
4.198,0.463,1.322,p
0.205,0.779,0.732,n
6.370,0.846,4.448,p
2.040,2.933,4.709,p
9.503,7.965,2.770,n
2.036,0.018,6.990,p
6.289,5.452,1.562,n
7.063,4.714,6.782,n
2.324,7.620,2.801,n
1.020,2.526,2.834,p
5.302,2.490,9.200,p
5.740,6.271,5.314,p
4.108,6.346,4.034,p
7.882,2.923,3.718,n
1.571,6.970,3.814,p
6.211,0.255,4.715,p
6.690,0.064,0.412,p
6.209,9.997,8.731,n
1.055,4.609,3.302,p
1.683,4.217,8.972,p
2.202,1.962,9.400,n
5.865,0.498,3.883,p
7.049,5.121,2.844,n
8.775,3.531,4.583,n
5.161,9.565,9.547,n
9.341,5.810,4.902,n
2.154,2.659,0.438,p
6.805,9.707,3.965,n
4.557,3.251,0.288,p
7.356,3.122,8.600,p
2.546,3.439,7.125,p
9.342,0.723,4.609,n
1.181,0.815,0.987,p
0.771,4.269,7.548,p
3.196,4.348,5.571,p
2.610,2.318,1.187,p
1.218,6.452,1.182,p
7.373,3.589,6.749,n
5.854,0.253,1.298,n
0.126,2.201,6.528,p
0.383,7.265,9.617,p
2.601,6.716,3.049,p
0.220,6.278,0.246,p
0.450,2.258,6.539,p
0.624,9.721,4.227,n
2.165,4.352,3.580,p
4.093,2.637,5.313,p
0.031,1.382,8.689,p
7.327,0.273,9.324,p
0.363,0.896,2.927,p
2.361,3.558,7.355,p
2.698,4.923,3.926,p
9.005,5.504,9.773,n
0.207,7.400,0.343,p
2.090,5.660,3.294,p
9.685,9.245,5.861,n
6.813,3.534,9.164,p
3.307,7.474,0.091,n
5.649,9.523,3.632,n
3.230,7.828,6.007,n
0.010,1.408,0.436,p
9.294,9.486,4.804,n
1.738,1.699,6.589,n
6.050,7.548,2.658,n
9.463,5.379,5.546,n
9.901,1.900,7.826,n
8.447,7.501,1.553,p
9.237,5.633,3.609,n
5.616,4.116,6.141,n
6.803,6.309,6.278,n
4.970,7.309,2.492,n
6.097,0.906,0.301,n
0.110,2.506,7.624,p
7.754,6.256,3.893,n
0.384,4.653,8.299,p
5.217,0.416,5.659,p
3.474,0.045,1.908,p
9.453,3.148,9.053,n
9.843,7.647,2.751,n
1.254,1.340,4.809,p
6.419,7.641,0.467,n
9.497,3.447,5.859,n
0.828,5.598,8.133,p
4.587,1.594,3.337,n
6.552,4.765,5.559,p
4.277,3.523,4.516,p
8.335,5.124,9.872,n
0.192,8.859,1.933,p
4.138,0.620,3.113,p
4.122,0.307,8.024,p
1.905,3.877,3.576,p
8.717,4.960,0.805,n
0.517,8.621,7.907,n
2.622,6.480,0.957,n
0.368,3.767,1.569,p
6.401,2.426,8.789,n
6.247,9.456,4.829,p
6.784,0.442,2.403,p
4.629,8.765,1.380,n
5.649,0.135,9.303,p
0.264,4.363,9.137,p
6.587,9.661,4.315,n
3.718,0.217,6.116,n
4.746,2.370,0.403,p
7.981,9.641,1.067,p
0.487,7.135,0.268,p
8.702,3.931,9.246,n
6.042,1.614,3.405,p
5.902,9.960,2.837,n
9.334,3.454,6.286,n
6.303,7.534,1.957,n
2.691,7.279,3.469,n
1.322,6.131,1.658,p
7.778,5.449,5.539,p
8.190,3.570,8.819,n
1.112,6.885,6.143,p
3.759,7.933,0.105,n
4.050,0.212,1.343,n
3.882,8.852,5.649,p
5.410,1.595,8.522,p
2.655,2.296,1.109,p
1.411,8.119,1.386,n
0.975,0.051,2.267,p
0.775,5.737,2.263,p
3.675,3.812,7.582,p
9.359,7.424,4.811,n
4.012,5.003,4.710,n
3.592,4.009,7.663,p
4.460,3.440,2.435,p
3.839,3.887,5.135,n
9.800,9.766,5.659,n
6.839,0.919,3.171,n
8.910,2.274,9.676,n
5.754,0.404,0.935,n
3.268,1.131,7.972,p
2.337,0.437,3.827,p
1.165,6.046,9.349,p
7.411,1.977,0.015,n
2.017,5.080,1.203,p
1.055,9.111,1.245,n
7.234,0.060,4.049,n
4.751,2.283,2.835,p
6.533,5.994,9.295,n
6.732,9.462,1.551,n
0.367,8.700,8.052,n
4.414,2.430,9.050,p
1.342,4.432,6.742,p
2.240,6.845,8.619,n
4.255,6.457,9.884,n
3.381,6.854,1.632,p
8.460,4.686,1.466,n
7.042,0.213,2.073,p
2.105,0.041,9.961,p
1.364,6.430,4.897,p
5.372,0.783,9.700,p
0.153,4.193,7.572,p
7.450,7.674,2.391,n
2.639,0.890,1.548,p
6.269,5.636,0.633,n
4.794,3.194,7.292,p
4.342,6.644,9.621,p
2.720,3.843,3.438,n
3.737,8.031,1.895,n
4.955,0.220,8.630,p
4.177,7.907,0.677,n
5.705,5.207,8.612,n
2.924,1.147,7.119,p
1.741,2.410,4.370,p
2.693,8.709,6.612,p
1.400,5.971,7.860,p
1.229,3.745,5.207,p
5.255,1.246,2.465,p
8.206,4.174,8.835,n
9.436,2.433,5.600,p
2.994,8.677,7.950,n
7.420,7.219,7.900,p
0.624,1.678,5.055,p
4.504,2.758,4.125,n
0.453,8.542,5.113,n
7.614,1.345,6.269,n
3.670,9.637,5.018,n
6.883,1.336,4.794,n
2.164,5.144,5.097,p
8.077,5.174,9.001,n
0.522,7.295,9.682,p
4.588,0.688,2.013,p
2.564,7.939,0.010,n
9.395,1.850,1.736,p
3.604,8.118,0.090,n
3.104,8.221,3.930,n
4.998,3.633,3.547,n
4.213,1.590,9.238,p
7.663,6.863,8.129,n
1.124,7.734,8.387,n
4.823,6.864,1.000,n
2.622,7.851,6.353,n
5.360,0.747,0.409,p
2.878,2.527,4.031,p
7.727,8.326,5.073,n
9.383,1.145,3.322,n
3.233,1.454,5.784,p
3.730,2.539,3.318,p
5.357,0.844,3.155,p
5.114,1.482,0.705,p
5.244,5.653,3.522,n
6.656,7.269,4.021,n
2.498,0.769,1.110,p
4.352,6.190,5.457,n
9.142,9.470,0.013,n
6.479,2.362,6.545,n
8.871,6.834,8.472,n
9.979,1.649,3.853,n
2.878,8.787,4.837,n
7.072,9.988,5.998,n
5.679,8.653,6.285,n
2.382,3.377,6.331,p
5.365,7.105,1.147,n
9.219,4.798,6.918,n
2.103,3.897,5.117,p
3.539,4.067,7.309,p
9.566,6.039,1.636,n
0.809,5.015,6.886,p
3.142,6.737,9.353,n
5.635,0.202,7.887,p
8.236,7.301,0.915,p
9.223,5.312,8.644,n
6.638,9.741,1.820,n
0.041,1.434,2.071,p
5.775,0.034,1.272,p
0.411,3.187,2.200,p
3.166,8.812,2.314,n
2.179,5.524,0.655,p
0.684,4.405,3.271,p
5.119,3.443,8.626,n
5.162,5.755,4.159,p
4.687,3.914,0.877,n
1.216,6.735,7.494,p
2.015,2.407,5.985,p
1.302,1.953,5.768,p
6.390,4.316,3.949,n
2.621,8.005,6.400,n
0.289,3.454,7.689,p
6.445,9.747,4.405,n
2.120,0.070,2.366,n
2.301,1.361,9.214,p
6.334,7.392,1.456,n
3.788,0.355,4.409,p
2.878,6.612,5.267,n
1.393,9.161,5.362,n
0.853,3.667,9.267,p
6.836,5.893,4.657,n
2.600,5.858,7.027,n
7.278,5.178,9.546,n
6.368,1.543,7.632,p
2.695,4.678,7.801,p
2.965,2.419,7.761,p
